Rank,City,Population,Area KM2,Area   M2,Density KM2,Density  M2,Country,Year
,,,,,,,,
1.,Manila,"1,846,513",43,17,"43,062","111,532", Filipinler *,2020  [1] 2018 [2]
2.,Mandaluyong,"425,758",11,4,"38,495","99,703", Filipinler *,2020  [1] [3]
3.,pateros,"65,227",2,1,"37,061","95,988", Filipinler *,2020  [1] 2013 [3]
4.,Caloocan,"1,661,584",53,21,"31,233","80,893", Filipinler *,2020  [1] [3]
5.,ben fren,"212,646",7,3,"30,001","77,702", İsrail *,2022 [4] [5]
6.,Katmandu,"1,442,000",49,19,"29,161","75,526", Nepal *,2020 [6]
7.,Dakka,"8,906,136",306,118,"29,069","75,289", Bangladeş *,-
8.,Makati,"629,616",22,8,"28,975","75,044", Filipinler *,2020  [1] [3]
9.,Manhattan,"1,628,701",59,23,"27,544","71,340", Amerika Birleşik Devletleri,2020
10.,Port-au-Prince,"987,310",36,14,"27,395","70,953", Hatay *,2015 [7]
11.,Levallois-Perret,"64,379",2,1,"26,713","69,187", Fransa *,2020 [8]
12.,Vincennes,"49,891",2,1,"26,121","67,653", Fransa *,2020 [9]
13.,Le Pré-Saint-Gervais,"17,950",1,0,"25,643","66,415", Fransa *,2020 [10]
14.,pasig,"803,159",31,12,"25,530","66,122", Filipinler *,2020  [1] [3]
15.,Karaçi,"14,910,352",591,228,"25,229","65,343", Pakistan *,2017 [11] [12]
16.,Saint-Mande,"22,619",1,0,"24,586","63,677", Fransa *,2020 [13]
17.,Kalküta,"4,496,694",185,71,"24,306","62,954", Hindistan *,2019 [14] 2013 [15]
18.,Montrouge,"50,260",2,1,"24,280","62,886", Fransa *,2020 [16]
19.,Saint-Josse-ten-Noode,"27,548",1,0,"24,165","62,587", Belçika *,-
20.,Malabon,"380,522",16,6,"23,842","61,751", Filipinler *,2020  [1] [3]
21.,Pasay,"440,656",19,7,"23,640","61,229", Filipinler *,2020  [1] [3]
22.,"Napoli, Selanik","27,084",1,0,"23,149","59,955", Yunanistan *,-
23.,Erkek,"133,412",6,2,"23,002","59,575", Maldivler *,-
24.,Şam,"1,711,000",77,30,"22,221","57,552", Suriye *,-
25.,Navotalar,"247,543",12,4,"21,507","55,703", Filipinler *,2020  [1] [3]
26.,Asmara,"963,000",45,17,"21,400","55,426", Eritre *,2012 [24]
27.,Mıslata,"43,756",2,1,"21,241","55,014", İspanya *,-
28.,Makao,"643,100",30,12,"21,224","54,971", Makao *,2015 [26] [27]
29.,Kallithea,"100,050",5,2,"21,063","54,554", Yunanistan *,-
30.,Yeni Smyrni,"73,090",4,1,"20,764","53,779", Yunanistan *,-
31.,Paris,"2,187,526",105,41,"20,755","53,754", Fransa *,2020 [29]
32.,naber,"1,072,161",52,20,"20,722","53,670", Hindistan *,-
33.,Bombay,"12,442,373",603,233,"20,634","53,442", Hindistan *,2013 [30] 2019 [32]
34.,"San Juan, Metro Manila","126,347",6,2,"21,524","55,748", Filipinler *,2020  [1] [3]
35.,Kolombo,"752,993",37,14,"20,351","52,710", Sri Lanka *,-
36.,L'Hospitalet de Llobregat,"252,171",12,5,"20,336","52,671", İspanya *,2016 [33]
37.,Marikina,"456,059",23,9,"20,144","52,173", Filipinler *,2020  [1] [3]
38.,Birlik Şehri,"66,455",3,1,"20,047","51,921", Amerika Birleşik Devletleri *,-
39.,Saint-Gilles,"50,002",3,1,"19,842","51,391", Belçika *,-
40.,Klişe,"61,070",3,1,"19,828","51,354", Fransa *,2020 [36]
41.,Kotsiubynske,"17,249",1,0,"19,826","51,351", Ukrayna *,-
42.,Courbevoie,"81,719",4,2,"19,597","50,756", Fransa *,2020 [37]
43.,Boulogne-Billancourt,"120,071",6,2,"19,460","50,403", Fransa *,2020 [38]
44.,Batı New York,"49,708",3,1,"19,060","49,365", Amerika Birleşik Devletleri *,-
45.,las pinas,"606,293",32,12,"18,935","49,041", Filipinler *,2020  [1] [3]
46.,Koekelberg,"21,990",1,0,"18,795","48,679", Belçika *,-
47.,Bandung,"3,075,478",167,64,"18,416","47,698", Endonezya *,-
48.,General Mariano Alvarez,"172,433",9,4,"18,344","47,511", Filipinler *,2020  [1] 2013 [39]
49.,Monako,"36,950",2,1,"18,292","47,377", Monako *,-
50.,Les Lilas,"23,045",1,0,"18,290","47,370", Fransa *,2020 [42]
51.,Hoböken,"60,417",3,1,"18,225","47,204", Amerika Birleşik Devletleri *,2020 [34]
52.,Giv'atayim,"58,500",3,1,"18,056","46,764", İsrail *,2019 [43]
53.,Quezon şehir,"2,960,048",166,64,"17,882","46,315", Filipinler *,2020  [1] [3]
54.,Vanveler,"27,729",2,1,"17,775","46,037", Fransa *,2020 [44]
55.,Asnières-sur-Seine,"85,191",5,2,"17,674","45,777", Fransa *,2020 [45]
56.,Ciudad Nezahualcóyotl,"1,110,565",63,24,"17,503","45,334", Meksika *,2010 [46]
57.,Suginami,"582,065",34,13,"17,089","44,262", Japonya *,-
58.,Santa Coloma de Gramenet,"118,821",7,3,"16,974","43,964", İspanya *,2019 [47]
59.,Modi'in Illit,"80,894",5,2,"16,748","43,378", İsrail *,2022
60.,Çittagong,"2,582,401",155,60,"16,661","43,151", Bangladeş *,2018 [48]
61.,Sint-Jans-Molenbeek,"97,462",6,2,"16,547","42,857", Belçika *,-
62.,Seul,"9,962,393",605,234,"16,461","42,634", Güney Kore *,2019 [49] 2013 [50]
63.,Kore mahallesi,"124,281",7-May,2-Sep,"16,452","42,610", Amerika Birleşik Devletleri,2020
64.,Charenton-le-Pont,"30,374",2,1,"16,418","42,524", Fransa *,2020 [51]
65.,La Garenne-Colombes,"29,169",2,1,"16,387","42,443", Fransa *,2020 [52]
66.,Schaerbeek,"133,309",8,3,"16,377","42,417", Belçika *,-
67.,Neuilly-sur-Seine,"60,361",4,1,"16,183","41,913", Fransa *,2020 [53]
68.,Issy-les-Moulineaux,"68,451",4,2,"16,106","41,715", Fransa *,2020 [54]
69.,Barselona,"1,636,732",101,39,"16,149","41,827", İspanya *,2021 [55]
70.,Cakarta,"10,560,000",662,255,"15,964","41,346", Endonezya *,2019 [56] 2020 [57]
71.,nazikçe,"18,605",1,0,"15,767","40,836", Fransa *,2020 [58]
72.,Kahire,"9,539,673",606,234,"15,742","40,772", Mısır *,2019 [59] 2017 [60]
73.,Cimahi,"568,400",40,16,"14,080","36,467", Endonezya *,2020
74.,Senglea,"2,820",0,0,"14,100","36,519", Malta *,2013
75.,"Rosario, Cavite","110,807",8,3,"14,561","37,712", Filipinler *,2020  [1] 2013 [39]
76.,Mandaue,"364,116",25,10,"14,461","37,453", Filipinler *,2020  [1] 2013 [39]
77.,bacoor,"664,625",46,18,"14,395","37,284", Filipinler *,2020  [1] 2013 [39]
78.,"San Pedro, Laguna","326,001",24,9,"13,555","35,108", Filipinler *,2020  [1] 2013 [39]
