index,FOD1P,Major,Major_Category
0,1100,GENERAL AGRICULTURE,Agriculture & Natural Resources
1,1101,AGRICULTURE PRODUCTION AND MANAGEMENT,Agriculture & Natural Resources
2,1102,AGRICULTURAL ECONOMICS,Agriculture & Natural Resources
3,1103,ANIMAL SCIENCES,Agriculture & Natural Resources
4,1104,FOOD SCIENCE,Agriculture & Natural Resources
5,1105,PLANT SCIENCE AND AGRONOMY,Agriculture & Natural Resources
6,1106,SOIL SCIENCE,Agriculture & Natural Resources
7,1199,MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources
8,1302,FORESTRY,Agriculture & Natural Resources
9,1303,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources
10,6000,FINE ARTS,Arts
11,6001,DRAMA AND THEATER ARTS,Arts
12,6002,MUSIC,Arts
13,6003,VISUAL AND PERFORMING ARTS,Arts
14,6004,COMMERCIAL ART AND GRAPHIC DESIGN,Arts
15,6005,FILM VIDEO AND PHOTOGRAPHIC ARTS,Arts
16,6007,STUDIO ARTS,Arts
17,6099,MISCELLANEOUS FINE ARTS,Arts
18,1301,ENVIRONMENTAL SCIENCE,Biology & Life Science
19,3600,BIOLOGY,Biology & Life Science
20,3601,BIOCHEMICAL SCIENCES,Biology & Life Science
21,3602,BOTANY,Biology & Life Science
22,3603,MOLECULAR BIOLOGY,Biology & Life Science
23,3604,ECOLOGY,Biology & Life Science
24,3605,GENETICS,Biology & Life Science
25,3606,MICROBIOLOGY,Biology & Life Science
26,3607,PHARMACOLOGY,Biology & Life Science
27,3608,PHYSIOLOGY,Biology & Life Science
28,3609,ZOOLOGY,Biology & Life Science
29,3611,NEUROSCIENCE,Biology & Life Science
30,3699,MISCELLANEOUS BIOLOGY,Biology & Life Science
31,4006,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,Biology & Life Science
32,6200,GENERAL BUSINESS,Business
33,6201,ACCOUNTING,Business
34,6202,ACTUARIAL SCIENCE,Business
35,6203,BUSINESS MANAGEMENT AND ADMINISTRATION,Business
36,6204,OPERATIONS LOGISTICS AND E-COMMERCE,Business
37,6205,BUSINESS ECONOMICS,Business
38,6206,MARKETING AND MARKETING RESEARCH,Business
39,6207,FINANCE,Business
40,6209,HUMAN RESOURCES AND PERSONNEL MANAGEMENT,Business
41,6210,INTERNATIONAL BUSINESS,Business
42,6211,HOSPITALITY MANAGEMENT,Business
43,6212,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,Business
44,6299,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,Business
45,1901,COMMUNICATIONS,Communications & Journalism
46,1902,JOURNALISM,Communications & Journalism
47,1903,MASS MEDIA,Communications & Journalism
48,1904,ADVERTISING AND PUBLIC RELATIONS,Communications & Journalism
49,2001,COMMUNICATION TECHNOLOGIES,Computers & Mathematics
50,2100,COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics
51,2101,COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics
52,2102,COMPUTER SCIENCE,Computers & Mathematics
53,2105,INFORMATION SCIENCES,Computers & Mathematics
54,2106,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics
55,2107,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics
56,3700,MATHEMATICS,Computers & Mathematics
57,3701,APPLIED MATHEMATICS,Computers & Mathematics
58,3702,STATISTICS AND DECISION SCIENCE,Computers & Mathematics
59,4005,MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics
60,2300,GENERAL EDUCATION,Education
61,2301,EDUCATIONAL ADMINISTRATION AND SUPERVISION,Education
62,2303,SCHOOL STUDENT COUNSELING,Education
63,2304,ELEMENTARY EDUCATION,Education
64,2305,MATHEMATICS TEACHER EDUCATION,Education
65,2306,PHYSICAL AND HEALTH EDUCATION TEACHING,Education
66,2307,EARLY CHILDHOOD EDUCATION,Education
67,2308,SCIENCE AND COMPUTER TEACHER EDUCATION,Education
68,2309,SECONDARY TEACHER EDUCATION,Education
69,2310,SPECIAL NEEDS EDUCATION,Education
70,2311,SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,Education
71,2312,TEACHER EDUCATION: MULTIPLE LEVELS,Education
72,2313,LANGUAGE AND DRAMA EDUCATION,Education
73,2314,ART AND MUSIC EDUCATION,Education
74,2399,MISCELLANEOUS EDUCATION,Education
75,3501,LIBRARY SCIENCE,Education
76,1401,ARCHITECTURE,Engineering
77,2400,GENERAL ENGINEERING,Engineering
78,2401,AEROSPACE ENGINEERING,Engineering
79,2402,BIOLOGICAL ENGINEERING,Engineering
80,2403,ARCHITECTURAL ENGINEERING,Engineering
81,2404,BIOMEDICAL ENGINEERING,Engineering
82,2405,CHEMICAL ENGINEERING,Engineering
83,2406,CIVIL ENGINEERING,Engineering
84,2407,COMPUTER ENGINEERING,Engineering
85,2408,ELECTRICAL ENGINEERING,Engineering
86,2409,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering
87,2410,ENVIRONMENTAL ENGINEERING,Engineering
88,2411,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering
89,2412,INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering
90,2413,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering
91,2414,MECHANICAL ENGINEERING,Engineering
92,2415,METALLURGICAL ENGINEERING,Engineering
93,2416,MINING AND MINERAL ENGINEERING,Engineering
94,2417,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering
95,2418,NUCLEAR ENGINEERING,Engineering
96,2419,PETROLEUM ENGINEERING,Engineering
97,2499,MISCELLANEOUS ENGINEERING,Engineering
98,2500,ENGINEERING TECHNOLOGIES,Engineering
99,2501,ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering
100,2502,ELECTRICAL ENGINEERING TECHNOLOGY,Engineering
101,2503,INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering
102,2504,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Engineering
103,2599,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering
104,5008,MATERIALS SCIENCE,Engineering
105,4002,NUTRITION SCIENCES,Health
106,6100,GENERAL MEDICAL AND HEALTH SERVICES,Health
107,6102,COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health
108,6103,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,Health
109,6104,MEDICAL ASSISTING SERVICES,Health
110,6105,MEDICAL TECHNOLOGIES TECHNICIANS,Health
111,6106,HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health
112,6107,NURSING,Health
113,6108,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,Health
114,6109,TREATMENT THERAPY PROFESSIONS,Health
115,6110,COMMUNITY AND PUBLIC HEALTH,Health
116,6199,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,Health
117,1501,AREA ETHNIC AND CIVILIZATION STUDIES,Humanities & Liberal Arts
118,2601,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,Humanities & Liberal Arts
119,2602,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,Humanities & Liberal Arts
120,2603,OTHER FOREIGN LANGUAGES,Humanities & Liberal Arts
121,3301,ENGLISH LANGUAGE AND LITERATURE,Humanities & Liberal Arts
122,3302,COMPOSITION AND RHETORIC,Humanities & Liberal Arts
123,3401,LIBERAL ARTS,Humanities & Liberal Arts
124,3402,HUMANITIES,Humanities & Liberal Arts
125,4001,INTERCULTURAL AND INTERNATIONAL STUDIES,Humanities & Liberal Arts
126,4801,PHILOSOPHY AND RELIGIOUS STUDIES,Humanities & Liberal Arts
127,4901,THEOLOGY AND RELIGIOUS VOCATIONS,Humanities & Liberal Arts
128,5502,ANTHROPOLOGY AND ARCHEOLOGY,Humanities & Liberal Arts
129,6006,ART HISTORY AND CRITICISM,Humanities & Liberal Arts
130,6402,HISTORY,Humanities & Liberal Arts
131,6403,UNITED STATES HISTORY,Humanities & Liberal Arts
132,2201,COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services
133,2901,FAMILY AND CONSUMER SCIENCES,Industrial Arts & Consumer Services
134,3801,MILITARY TECHNOLOGIES,Industrial Arts & Consumer Services
135,4101,PHYSICAL FITNESS PARKS RECREATION AND LEISURE,Industrial Arts & Consumer Services
136,5601,CONSTRUCTION SERVICES,Industrial Arts & Consumer Services
137,5701,"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",Industrial Arts & Consumer Services
138,5901,TRANSPORTATION SCIENCES AND TECHNOLOGIES,Industrial Arts & Consumer Services
139,4000,MULTI/INTERDISCIPLINARY STUDIES,Interdisciplinary
140,3201,COURT REPORTING,Law & Public Policy
141,3202,PRE-LAW AND LEGAL STUDIES,Law & Public Policy
142,5301,CRIMINAL JUSTICE AND FIRE PROTECTION,Law & Public Policy
143,5401,PUBLIC ADMINISTRATION,Law & Public Policy
144,5402,PUBLIC POLICY,Law & Public Policy
145,bbbb ,N/A (less than bachelor's degree),
146,5000,PHYSICAL SCIENCES,Physical Sciences
147,5001,ASTRONOMY AND ASTROPHYSICS,Physical Sciences
148,5002,ATMOSPHERIC SCIENCES AND METEOROLOGY,Physical Sciences
149,5003,CHEMISTRY,Physical Sciences
150,5004,GEOLOGY AND EARTH SCIENCE,Physical Sciences
151,5005,GEOSCIENCES,Physical Sciences
152,5006,OCEANOGRAPHY,Physical Sciences
153,5007,PHYSICS,Physical Sciences
154,5098,MULTI-DISCIPLINARY OR GENERAL SCIENCE,Physical Sciences
155,5102,"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",Physical Sciences
156,5200,PSYCHOLOGY,Psychology & Social Work
157,5201,EDUCATIONAL PSYCHOLOGY,Psychology & Social Work
158,5202,CLINICAL PSYCHOLOGY,Psychology & Social Work
159,5203,COUNSELING PSYCHOLOGY,Psychology & Social Work
160,5205,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,Psychology & Social Work
161,5206,SOCIAL PSYCHOLOGY,Psychology & Social Work
162,5299,MISCELLANEOUS PSYCHOLOGY,Psychology & Social Work
163,5403,HUMAN SERVICES AND COMMUNITY ORGANIZATION,Psychology & Social Work
164,5404,SOCIAL WORK,Psychology & Social Work
165,4007,INTERDISCIPLINARY SOCIAL SCIENCES,Social Science
166,5500,GENERAL SOCIAL SCIENCES,Social Science
167,5501,ECONOMICS,Social Science
168,5503,CRIMINOLOGY,Social Science
169,5504,GEOGRAPHY,Social Science
170,5505,INTERNATIONAL RELATIONS,Social Science
171,5506,POLITICAL SCIENCE AND GOVERNMENT,Social Science
172,5507,SOCIOLOGY,Social Science
173,5599,MISCELLANEOUS SOCIAL SCIENCES,Social Science
